,Title,Platform,others,joy,sadness,anger,surprise,disgust,fear
12,Bloodborne,PlayStation4,0.5890347112389561,0.29934313980315264,0.005731474941272158,0.009164658875984635,0.014505290617399141,0.0791925388351306,0.0030281883109425415
13,Braid,PC,0.5225279947293215,0.3657295369153746,0.0022886117277987543,0.008103527274014826,0.023170244364581698,0.07623205513910161,0.0019480276941160712
14,Braid,PlayStation3,0.5110569304587054,0.3976384269106867,0.001389408762666475,0.0026120180243326394,0.04335875392592108,0.041971287875120215,0.001973178948641575
15,Braid,Xbox360,0.4346555883512754,0.43440549953606067,0.02050374510017297,0.0019827677009854223,0.02576907763154533,0.08081980392946467,0.0018635258320291955
16,Burnout 3: Takedown,PlayStation2,0.43328145755915326,0.44434556036041734,0.00143347639169309,0.017093525275331607,0.01667517799036468,0.08501599212647987,0.0021548222893000854
17,Burnout 3: Takedown,Xbox,0.4198287155951804,0.4125216867420266,0.01220177386890842,0.0028954172331436194,0.023850110095383473,0.12642890888651995,0.002273393810532045
18,Call of Duty 4: Modern Warfare,PC,0.5120832480136485,0.341547209557785,0.008968798500623352,0.018751846171653548,0.008498613043439686,0.10683223318343288,0.003318051100135375
19,Call of Duty 4: Modern Warfare,PlayStation3,0.44568509339693596,0.443351747321801,0.006434006060325404,0.003712667137998193,0.019342630743366535,0.07971732986016744,0.001756517762921448
20,Call of Duty 4: Modern Warfare,Xbox360,0.5481261848340516,0.3334071879379719,0.004137391787835235,0.008397093962543824,0.008487429729291835,0.09552875756040095,0.001915950785551464
21,Call of Duty: Modern Warfare 2,PC,0.4876877693747445,0.08932372897852935,0.010898804341036872,0.06276309786324134,0.004679007646150073,0.3423405433468407,0.0023070493077960268
22,Call of Duty: Modern Warfare 2,PlayStation3,0.563305220150006,0.16819395081586166,0.008358888979850461,0.015439666646214689,0.004225909534365514,0.2384070890920212,0.002069270020519547
23,Call of Duty: Modern Warfare 2,Xbox360,0.5170411445340046,0.1410575239639203,0.008520758931321334,0.02899455331534609,0.00546296531271406,0.2967980689790101,0.002124986904018243
24,Castlevania: Symphony of the Night,PlayStation,0.4734284506817715,0.489802802214399,0.0015786311561712147,0.0018912378556010787,0.0053518225773749924,0.026316009418714453,0.0016310553804165042
25,Castlevania: Symphony of the Night,Xbox360,0.4638544005155563,0.5182805460318923,0.001429298077709924,0.001398721467703524,0.009035503254271996,0.004363664253614788,0.0016378652467391919
26,Celeste,PC,0.6384789023681411,0.2578022813499306,0.0019612771762434643,0.0020768679657651216,0.004096653204344697,0.09343052735286095,0.002153491364359543
27,Celeste,PlayStation4,0.6073394161131647,0.34747185821955395,0.0016298869805823999,0.0012721347027561279,0.037156458491355966,0.0033181008507704,0.0018121289128126665
28,Celeste,Switch,0.5075201301654387,0.3972882914951899,0.02049325408297586,0.0018670622537481135,0.024135446959796008,0.046658185242106055,0.0020376258465047013
